,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
5,2022,5,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",134.0,18.0,4.42,1.0,6.48,0.0,6.09,5.0,0.0,917.0,224.0,78.0,398.0,0.0,217.0
99,2022,5,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International",89.0,26.0,9.87,2.1,4.8,0.14,9.1,0.0,0.0,1673.0,393.0,304.0,274.0,16.0,686.0
287,2022,5,B6,JetBlue Airways,ALB,"Albany, NY: Albany International",62.0,16.0,6.49,3.28,4.87,0.0,1.37,4.0,0.0,720.0,424.0,85.0,166.0,0.0,45.0
353,2022,5,DL,Delta Air Lines Inc.,ALB,"Albany, NY: Albany International",93.0,28.0,16.07,0.0,6.06,0.0,5.87,5.0,0.0,1374.0,602.0,0.0,199.0,0.0,573.0
483,2022,5,F9,Frontier Airlines Inc.,ALB,"Albany, NY: Albany International",31.0,6.0,2.61,0.0,2.5,0.0,0.89,1.0,0.0,420.0,195.0,0.0,89.0,0.0,136.0
579,2022,5,G4,Allegiant Air,ALB,"Albany, NY: Albany International",38.0,10.0,3.39,0.2,2.88,0.0,3.52,1.0,0.0,405.0,154.0,5.0,70.0,0.0,176.0
735,2022,5,MQ,Envoy Air,ALB,"Albany, NY: Albany International",77.0,15.0,4.58,1.8,4.42,0.0,4.2,0.0,0.0,654.0,157.0,133.0,162.0,0.0,202.0
928,2022,5,OH,PSA Airlines Inc.,ALB,"Albany, NY: Albany International",97.0,29.0,14.26,0.0,6.04,0.0,8.71,5.0,0.0,1355.0,709.0,0.0,193.0,0.0,453.0
1022,2022,5,OO,SkyWest Airlines Inc.,ALB,"Albany, NY: Albany International",62.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1048.0,947.0,101.0,0.0,0.0,0.0
1308,2022,5,UA,United Air Lines Inc.,ALB,"Albany, NY: Albany International",79.0,16.0,3.83,0.0,3.14,0.0,9.03,1.0,0.0,918.0,195.0,0.0,199.0,0.0,524.0
1414,2022,5,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",225.0,73.0,42.21,2.0,10.14,0.0,18.65,3.0,1.0,3807.0,1910.0,115.0,338.0,0.0,1444.0
1620,2022,5,YX,Republic Airline,ALB,"Albany, NY: Albany International",69.0,25.0,9.22,0.0,1.1,0.0,14.68,6.0,0.0,2908.0,1308.0,0.0,101.0,0.0,1499.0
1701,2022,4,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",118.0,16.0,2.55,0.0,3.76,0.98,8.71,1.0,1.0,767.0,139.0,0.0,135.0,32.0,461.0
1808,2022,4,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International",84.0,12.0,2.27,0.97,3.25,0.0,5.51,0.0,0.0,1053.0,202.0,35.0,88.0,0.0,728.0
1993,2022,4,B6,JetBlue Airways,ALB,"Albany, NY: Albany International",60.0,29.0,16.86,0.92,5.66,0.79,4.78,4.0,0.0,1969.0,1147.0,73.0,452.0,33.0,264.0
2057,2022,4,DL,Delta Air Lines Inc.,ALB,"Albany, NY: Albany International",88.0,17.0,10.39,1.9,0.25,0.0,4.46,1.0,0.0,807.0,492.0,149.0,12.0,0.0,154.0
2191,2022,4,F9,Frontier Airlines Inc.,ALB,"Albany, NY: Albany International",51.0,18.0,7.83,0.0,6.42,0.0,3.76,5.0,0.0,1518.0,609.0,0.0,532.0,0.0,377.0
2285,2022,4,G4,Allegiant Air,ALB,"Albany, NY: Albany International",60.0,18.0,10.01,1.01,4.46,0.0,2.52,0.0,0.0,950.0,601.0,81.0,127.0,0.0,141.0
2441,2022,4,MQ,Envoy Air,ALB,"Albany, NY: Albany International",56.0,11.0,2.11,0.86,5.03,0.0,3.0,1.0,0.0,455.0,138.0,31.0,132.0,0.0,154.0
2641,2022,4,OH,PSA Airlines Inc.,ALB,"Albany, NY: Albany International",108.0,25.0,11.8,0.11,4.94,0.0,8.15,1.0,0.0,1298.0,574.0,10.0,178.0,0.0,536.0
